camera_qty,pos_x,pos_y
4,37.59636688,127.0879822
2,37.59397888,127.0834198
2,37.59202576,127.080925
1,37.61350675,127.1054068
2,37.60139084,127.0996933
4,37.6058964,127.0979713
4,37.60741043,127.0995865
4,37.60694504,127.0971375
4,37.60490799,127.0988922
4,37.60054016,127.0985413
2,37.60127258,127.0978317
3,37.61044312,127.095932
4,37.61459732,127.1007996
1,37.60843996,127.0971965
1,37.6083815,127.0988815
3,37.61711378,127.1015406
4,37.60227648,127.0968602
4,37.61724763,127.1089852
1,37.61658062,127.0934168
3,37.62044144,127.1062469
2,37.60064697,127.0989838
2,37.60323715,127.0986328
3,37.60242844,127.0995789
3,37.60259876,127.0973476
2,37.60170364,127.0986557
3,37.60502625,127.0966873
2,37.61782455,127.1011887
5,37.6065729,127.0919046
5,37.60250467,127.0949572
4,37.603665,127.0954812
1,37.61224033,127.0971116
1,37.61717606,127.1099319
1,37.61703491,127.1105042
3,37.61730194,127.1112061
1,37.61655807,127.109024
1,37.61590958,127.1078644
1,37.61457062,127.1122131
1,37.61353683,127.11129
1,37.61392995,127.0983043
1,37.61338806,127.0942078
1,37.60791865,127.0923038
1,37.61382294,127.0886002
1,37.61423492,127.089188
1,37.61302986,127.0887959
2,37.61572715,127.0913353
1,37.60845817,127.0941408
4,37.61263845,127.0887777
2,37.60824966,127.0926056
3,37.61926342,127.1108557
3,37.61907959,127.1115646
3,37.60892105,127.0815659
2,37.60949326,127.0812225
3,37.60925674,127.0815582
2,37.58862686,127.0872269
2,37.58883734,127.0871257
2,37.58880083,127.0869409
2,37.58877232,127.0868043
4,37.59874895,127.0826786
4,37.59971619,127.081832
3,37.60456056,127.0821337
4,37.60587192,127.0832542
1,37.60273743,127.0834885
3,37.60437034,127.0809627
3,37.60026169,127.0829163
1,37.60046387,127.085083
3,37.60005987,127.0737691
6,37.59851795,127.0764471
4,37.60058751,127.0787329
4,37.60255432,127.0958099
3,37.61347961,127.0912247
2,37.60355759,127.0947418
3,37.59220294,127.0760023
2,37.59380186,127.1027397
2,37.5913006,127.0970897
2,37.60042235,127.1048187
2,37.60080488,127.1059869
2,37.59997064,127.1069956
2,37.59914866,127.102665
2,37.60261043,127.1010143
3,37.59086199,127.0754111
3,37.58988478,127.0760724
2,37.5919684,127.0835279
2,37.58552556,127.096624
